station_index,station_id,source_station_id,expver,resolution_arcmin,valid_time_shift_hours,file,name,river,country_code,lon,lat,model_lon,model_lat,model_row,model_col,distance_station_to_model_km,upstream_area_km2,model_upstream_area_km2,upstream_area_difference_pct,kge,correlation,rmse,matched_days,KGE,Correlation,RMSE_m3s,Matched_days,Obs_file
4554,station_004554,16110,glofas_v5,15,-24,stations/station_004554.json,"NEAR CARL, OK",ELM FORK RED,United States,-99.9,35.01,-99.925,35.025,,,2.822,1077.4,1213.2,12.6,0.103,0.409,1.148,1736,0.103,0.409,1.148,1736,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4555,station_004555,16112,glofas_v5,15,-24,stations/station_004555.json,"NEAR VERNON, TX",PEASE,United States,-99.28,34.18,-99.275,34.175,,,0.722,9033.9,9945.7,10.09,0.415,0.556,5.069,1826,0.415,0.556,5.069,1826,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4556,station_004556,16113,glofas_v5,15,-24,stations/station_004556.json,"NEAR EUREKA, MO",MERAMEC,United States,-90.59,38.51,-90.625,38.475,,,4.942,9810.9,9893.3,0.84,0.742,0.763,113.937,1826,0.742,0.763,113.937,1826,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4557,station_004557,16114,glofas_v5,15,-24,stations/station_004557.json,"BOLIVAR, TN",HATCHIE,United States,-88.98,35.28,-88.975,35.275,,,0.718,3833.2,3874.5,1.08,0.705,0.779,69.972,1826,0.705,0.779,69.972,1826,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4558,station_004558,16116,glofas_v5,15,-24,stations/station_004558.json,"VANDALIA, IL",Kaskaskia,United States,-89.09,38.96,-89.075,38.975,,,2.113,5024.6,5037.0,0.25,0.587,0.588,60.538,1826,0.587,0.588,60.538,1826,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4559,station_004559,16119,glofas_v5,15,-24,stations/station_004559.json,"SUNFLOWER, MS",BIG SUNFLOWER,United States,-90.54,33.55,-90.575,33.525,,,4.272,1986.5,1744.7,-12.17,0.757,0.767,33.625,1826,0.757,0.767,33.625,1826,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4560,station_004560,16121,glofas_v5,15,-24,stations/station_004560.json,"NEAR BOVINA, MS",BIG BLACK,United States,-90.7,32.35,-90.675,32.375,,,3.639,7283.1,7203.6,-1.09,0.616,0.652,157.691,1826,0.616,0.652,157.691,1826,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4561,station_004561,16122,glofas_v5,15,-24,stations/station_004561.json,"WEST, MS",BIG BLACK,United States,-89.77,33.19,-89.775,33.175,,,1.732,2659.9,2708.0,1.81,0.58,0.671,72.142,1826,0.58,0.671,72.142,1826,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4562,station_004562,16123,glofas_v5,15,-24,stations/station_004562.json,"ROSETTA, MISS.",HOMOCHITTO,United States,-91.11,31.32,-91.075,31.325,,,3.371,2038.3,2132.8,4.64,0.354,0.363,77.27,1825,0.354,0.363,77.27,1825,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4563,station_004563,16126,glofas_v5,15,-24,stations/station_004563.json,"MIDDLE FALLS NEAR GRAND PORTAGE, MINN.",PIGEON,United States,-89.62,48.01,-89.625,48.025,,,1.709,1577.3,1573.5,-0.24,0.791,0.797,14.376,1737,0.791,0.797,14.376,1737,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4564,station_004564,16127,glofas_v5,15,-24,stations/station_004564.json,"NEAR SOUTH SUPERIOR, WI",NEMADJI,United States,-92.09,46.63,-92.075,46.625,,,1.273,1087.8,1109.5,1.99,0.587,0.615,16.997,1735,0.587,0.615,16.997,1735,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
