station_index,station_id,source_station_id,expver,resolution_arcmin,valid_time_shift_hours,file,name,river,country_code,lon,lat,model_lon,model_lat,model_row,model_col,distance_station_to_model_km,upstream_area_km2,model_upstream_area_km2,upstream_area_difference_pct,kge,correlation,rmse,matched_days,KGE,Correlation,RMSE_m3s,Matched_days,Obs_file
11201,station_011201,7000527,iyp3,15,-24,stations/station_011201.json,"Gründlach , Frauenkreuz",,,11.0895,49.52045,10.875,49.125,163,763,46.639,35.3,283.5,703.12,-8.622,0.2,2.211,731,-8.622,0.2,2.211,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11202,station_011202,7000528,iyp3,15,-24,stations/station_011202.json,"Aurach , Emskirchen",,,10.70995,49.54463,10.375,49.875,160,761,43.927,41.8,173.0,313.88,-2.526,-0.008,0.519,731,-2.526,-0.008,0.519,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11203,station_011203,7000529,iyp3,15,-24,stations/station_011203.json,"Aurach , Frauenaurach",,,10.96384,49.56733,10.875,49.125,163,763,49.604,166.5,283.5,70.27,-2.145,0.184,2.005,731,-2.145,0.184,2.005,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11204,station_011204,7000530,iyp3,15,-24,stations/station_011204.json,"Schwabach , Büg",,,11.21504,49.59681,11.625,49.375,162,766,38.54,79.3,274.2,245.78,-1.879,0.242,2.597,731,-1.879,0.242,2.597,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11205,station_011205,7000531,iyp3,15,-24,stations/station_011205.json,"Schwabach , Erlangen",,,11.02015,49.60168,11.375,49.375,162,765,35.949,184.8,345.5,86.96,-0.996,0.317,3.008,731,-0.996,0.317,3.008,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11206,station_011206,7000532,iyp3,15,-24,stations/station_011206.json,"Wiesent , Hollfeld",,,11.29059,49.93518,11.125,49.875,160,764,13.617,133.7,432.7,223.64,-26.134,0.731,4.554,731,-26.134,0.731,4.554,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11207,station_011207,7000533,iyp3,15,-24,stations/station_011207.json,"Wiesent , Behringersmühle",,,11.33231,49.77834,11.125,49.875,160,764,18.348,432.0,432.7,0.16,-0.823,0.375,3.653,731,-0.823,0.375,3.653,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11208,station_011208,7000534,iyp3,15,-24,stations/station_011208.json,"Wiesent , Muggendorf",,,11.25836,49.80316,11.125,49.875,160,764,12.461,660.0,432.7,-34.44,-0.181,0.375,4.152,731,-0.181,0.375,4.152,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11209,station_011209,7000535,iyp3,15,-24,stations/station_011209.json,"Püttlach , Pottenstein",,,11.40186,49.77305,11.625,49.375,162,766,47.095,115.7,274.2,136.99,-7.672,0.264,2.514,731,-7.672,0.264,2.514,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11210,station_011210,7000536,iyp3,15,-24,stations/station_011210.json,"Leinleiterbach , Unterleinleiter",,,11.19139,49.82438,10.875,50.375,158,763,65.252,83.6,271.3,224.52,-1.286,0.147,3.048,731,-1.286,0.147,3.048,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
